Order_ID,Customer_ID,Category,Product,Unit_Price,Quantity,Total_Amount,Discount_Rate,Net_Total,Payment_Method,Order_Date,Delivery_Date,City,State,Zip_Code,Email,Phone
8576,8383,Electronics,Smartwatch,1438.64,1,1438.64,0.16,1208.46,Cash,2024-03-26,2024-10-28,Devinmouth,Iowa,61765,,966.395.0233
3743,3646,Electronics,Headphones,834.0,4,3336.0,0.0,3336.0,Cash,2025-06-01,2025-06-17,West Suzannefurt,Pennsylvania,52995,kzamora@gmail.com,(928)224-9827x19426
6232,7346,Home Appliances,Washing Machine,1711.81,2,3423.62,0.0,3423.62,Cash,2024-08-02,2025-04-23,Bennettview,Indiana,37670,crystal48@morris.info,+1-454-938-7837x80101
5724,2282,Clothing,Jacket,400.71,4,1602.84,0.14,1378.44,Cash,2024-09-05,2025-01-11,Evanston,Washington,02933,williamroberts@hotmail.com,459.440.3644x15665
8988,8558,Groceries,Bread,1414.39,2,2828.78,0.01,2800.49,UPI,2024-01-03,2025-07-14,Lake Christopher,Massachusetts,84322,fscott@gmail.com,617.571.1225x99907
6523,5094,Home Appliances,Washing Machine,630.94,1,630.94,0.28,454.28,Credit Card,2024-04-21,2024-09-17,North Maria,Nebraska,01041,ghill@krause.org,352-370-9312x3953
3150,2788,Groceries,Cheese,492.24,1,492.24,0.2,393.79,UPI,2023-08-28,2024-10-23,Amandaberg,Oklahoma,28144,tonyanichols@archer.com,001-193-936-0918x1337
2877,1657,Books,Non-fiction,1134.18,1,1134.18,0.05,1077.47,UPI,2024-06-10,2025-01-26,Timothystad,New Jersey,74807,daniel37@moss-thompson.net,733.407.3539x3151
5915,2160,Electronics,Laptop,1889.81,1,1889.81,0.15,1606.34,Cash,2025-02-25,2025-07-29,Leslieborough,Missouri,34924,jesseroberts@hotmail.com,976.065.2273x55067
7745,9385,Groceries,Eggs,648.5,4,2594.0,0.03,2516.18,Cash,2023-12-18,2025-05-20,Donaldshire,Hawaii,97493,kristinarowe@hotmail.com,242.599.0237x76145
5701,4384,Groceries,Butter,444.64,3,1333.92,0.13,1160.51,Net Banking,2023-09-25,2024-04-13,Walkerborough,Connecticut,99686,walkerheather@hotmail.com,4901282740
4690,9105,Books,Comics,560.5,5,2802.5,0.02,2746.45,Credit Card,2024-04-21,2024-11-16,Priceburgh,Maryland,13852,vroberts@bright.com,401-352-4941
1781,8547,Clothing,Hat,1652.4,2,3304.8,0.07,3073.46,Credit Card,2024-04-12,2025-02-05,Bennettburgh,Virginia,39174,burtonalexis@gmail.com,235.812.4749x893
8905,7747,Clothing,Hat,1696.44,1,1696.44,0.05,1611.62,Net Banking,2023-10-24,2025-05-14,East Jenniferbury,Utah,50794,angela77@hotmail.com,(886)676-9852x9980
4360,7975,Books,Comics,519.37,3,1558.11,0.1,1402.3,Credit Card,2023-10-06,2025-06-07,Kingfort,South Carolina,76943,rosscindy@gmail.com,412-525-9957x5025
7733,8414,Electronics,Smartwatch,1265.44,2,2530.88,0.1,2277.79,Credit Card,2023-10-24,2024-03-14,South Briana,West Virginia,12793,allendavid@hotmail.com,+1-122-782-6212
3795,5524,Electronics,Smartphone,516.71,2,1033.42,0.3,723.39,UPI,2024-06-24,2025-02-24,New Anthonyberg,California,67864,brandon94@hotmail.com,(723)501-7677x716
3371,7583,Books,Fiction,1007.11,5,5035.55,0.17,4179.51,Cash,2023-08-17,2025-06-22,Matthewport,Kansas,13542,christopher86@franklin.info,4338706163
6014,8354,Clothing,Shoes,850.43,5,4252.15,0.17,3529.28,UPI,2024-07-21,2025-01-20,North Johnfort,Nebraska,94710,sara99@wright.com,+1-441-635-3351
5804,6210,Groceries,Butter,970.54,2,1941.08,0.15,1649.92,Debit Card,2024-10-26,2025-01-10,Amandatown,Alabama,79897,harrisonmichelle@hotmail.com,0195262006
8779,6365,Books,Non-fiction,23.73,2,47.46,0.16,39.87,Cash,2024-01-14,2024-12-27,West Melissa,Iowa,98460,,+1-145-709-2284x51294
9078,2936,Groceries,Cheese,1198.23,4,4792.92,0.06,4505.34,Net Banking,2024-06-01,,West Samuel,Vermont,36588,nicholasmoore@yahoo.com,(166)151-1471x40551
3054,9658,Electronics,Headphones,462.06,3,1386.18,0.2,1108.94,Cash,2025-01-12,2025-05-04,Staceymouth,Louisiana,27237,pachecomarissa@calderon.org,5196324954
3289,1184,Home Appliances,Washing Machine,1708.46,2,3416.92,0.2,2733.54,Debit Card,2023-09-10,2024-04-06,Lake Timton,North Dakota,06231,gonzalezandrew@yahoo.com,
2590,2024,Groceries,Milk,570.79,3,1712.37,0.18,1404.14,Net Banking,2024-02-15,,Taylorborough,New York,32773,kchan@farmer.info,413.702.6468x22802
8058,5702,Books,Biography,1381.02,5,6905.1,0.08,6352.69,UPI,2025-03-22,2025-07-26,Samuelland,Alaska,80186,williamsstephen@gmail.com,(261)064-1578x79681
4588,4385,Books,Textbook,1218.31,1,1218.31,0.07,1133.03,Debit Card,2025-01-18,2025-07-08,Kaylatown,Rhode Island,99907,idickerson@hotmail.com,
34,8860,Clothing,Shoes,122.18,5,610.9,0.11,543.7,UPI,2024-12-23,2025-07-09,Hannahfurt,Wisconsin,59653,adamsstephanie@yahoo.com,001-979-053-4677x3810
6389,3715,Groceries,Eggs,1502.55,1,1502.55,0.3,1051.78,Debit Card,2024-01-30,2025-04-18,North Taylor,Oklahoma,78247,briananderson@barnes.org,(500)850-7383x03905
